comments,status,rating
OurdistleryKsnjikotti 60xxxRumCSDrate80BivergeoutLey1800full750ml onepeg60mlsmall45mlLarge75ml😄,negative,0
Isecsir10yrarsCAGReporte submitted NirmaLajiGSTpsnkutjarum,negative,0
enneykoteypittikanathiTozhiLlkaleyvilliknam😘,positive,5
28682core₹Thadeshiyaoffice watterbilwerewhyended potta,negative,2
BaLa gopLSrp6&amp;9ennukootteypraynm😍,negative,0
GDP13.5whywerereportt GDp6.7%,negative,1
Werepegasesrepirt Hidenbergenqurewy,positive,2
LIc&amp;SBi sharepurchsef ourmodhijiorderedhe Adanishef😂,neutral,5
BhoomiattitharaviLakootteystapduty8₹5₹AakiyayalTressreymoneygivedwere,positive,4
Deshaabhimabhmanireadpersonsnakebiteednopoisioned,negative,2
allreadykeralagovermenntdesel58₹adhikses2₹why wanted centrel govermentbackyear8.500GST₹wereBaLa gopslanuAlsimerzed movieThanmAathra,negative,4
Diselprize Rate58 CrudeoilBarel49.80₹,negative,4
KIFBi5yearsRBIrepoCAG ReportnotSubmitted,negative,2
AIMSorrisa2023 2022kaLayaniagriclutreRecerchcentervitnwry West Bengal,neutral,3
MAani sir2casenocleanchitt why Jos. KmaniprivteTrust50coe₹wanted,negative,4
വാ ഴ് കൊലായ്,negative,1
കെ ദ്രം ഭ രി ക്ക ണ്ണം,negative,1
Balakovaala...,negative,0
"Thomas Isaac is right about his points on GST, It was the bad implementation that caused all the problem. Also the central govt ought to compensation to the states as promised. But politics plays it&#39;s role when the cetre and state is ruled by different partues",positive,0
വിഡ്ഢികൾ ആയിട്ടുള്ള ജനങ്ങൾ ഉള്ളടത്തോളം കാലം അധികാരി വർഗ്ഗങ്ങൾ ഇവരെ പറ്റിച്ചു കൊണ്ടേയിരിക്കും.,positive,5
chavar story kaari kendra sahaayam iratti aakiyathu parayunnilla. Keralam kadam edukkaavunnathinte paridhiyil kooduthal kadam eduthu kazhinju enna sathyam marachu vekunnu. Ithu polulla jeernalistukalaanu keralathinte Aishwaryam.,positive,2
CHAVAR story kaariyude kannalle pappuvine kandappol athyahlaadham kondu puratheku thalli vannathu ?,positive,0
ഈ അവസരത്തിൽ പുതിയ ഫണ്ടുകൾ കേന്ദ്രം കൊടുക്കാതിരിക്കുന്നതാണ് നല്ലത്. വകമാറിപ്പോകും!!!!,neutral,1
Manicku 5 kodyo ssssee ottum pora,positive,2
"About Adani ur knowledge has limitation ,,kindly dont bluff",negative,5
Cummiklakku 10 Pais kuravannu chummathlla ellarum parayunne,negative,4
തമിഴ് നാട്ടിൽ നിന്ന് പെട്രോൾ അടിച്ചാൽ 8 രൂപ ലാഭം ( ഞങ്ങൾ tn ബോഡറിൽ ആയത് ഭാഗ്യം ),negative,2
കുറച്ചു കൂടി കിറ്റ് കിട്ടി അടുത്ത തവണ കൂടി ഇവരെ ജയിപ്പിക്കണം ....,positive,4
തേങ്ങാക്കൊല,negative,5
കേന്ദ്രത്തോട് ചോദിച്ചു വാങ്ങാൻ കഴിയില്ലെങ്കിൽ വച്ചു ഇറങ്ങിപ്പോവുക.<br>കേന്ദ്രം തരുന്നില്ല 🙄 ഇതു കേൾക്കാനല്ല ജനങ്ങൾ വോട്ട് ചെയ്തു ഇരുത്തിയിരിക്കുന്നത്.,negative,4
Speech on Adani she made is bullshit. Stock market is on speculation.,neutral,2
ബാബറും ടിപ്പുവും സർ സിപി ഒക്കെ ഇതിലും എത്രയോ ഭേദം,negative,4
Ivanmar Iny eletion Time akumbo kuraikum,positive,0
Central government Ingane cheyyanam ..Keralam mudiyanam pinarai odanam,negative,2
Akg yude maravil 6 Crore Kalla myraaaa balagopalr,negative,4
Ivar CPM 20-30 vayasinullavark enth cheyyunun enth cheyythu,negative,2
Superb Mom ❣️🙏,neutral,3
kashtam thanne ldf kashtam thanne,negative,4
Evenenthonnede thal....su .......de ?🥵🥵,negative,1
തൊഴിലെടുക്കാൻ ബംഗാളികൾ ഉണ്ടല്ലോ പിന്നെ വിദ്യാഭ്യാസം ഉള്ളവർക്ക് ഇവിടെ എവിടെയാണ് തൊഴിൽ തൊഴിൽ ചെയ്യാൻ പറ്റുന്ന എല്ലാ പ്രസ്ഥാനങ്ങളും നിങ്ങൾ ചെങ്കോണകം കുത്തി പൂട്ടിച്ചില്ലെ,negative,1
ജനങ്ങളുടെവിഷർപ്പുകൊണ്ടുജീവിക്കുന്നനിങ്ങൾക്ക്<br>ഒരുബുദ്ധിമുട്ടുമുണ്ടാവില്ല<br>ജനങ്ങളുടേബുദ്ധിമുട്ടുമറിയില്ല<br>സുഗിക്കാവുന്നിടത്തോളംസുഗിക്കുകതല്ലേലക്ഷ്യം,negative,0
Gst വന്നാൽ കോഴിക്ക് വില കുറയും എന്ന് ആരോ പറഞ്ഞു.,neutral,0
ഈ കെട്ട വർഗം കേരളത്തിൽ ഒരു ഇൻഡസ്ടറിയും വളരാൻ അനുവദിക്കത് കൊടി കുത്തി ഓടിച്ചു റവനുവരുമാനം ഇല്ലാതാക്കിയിട്ടു പാവപെട്ടവരുടെ മുതുകത്തു കേറുന്ന കൊള്ളക്കാർ 👹👹👹👹👹👹👹👹👹👹👹,negative,5
എൻറെ വാഴക്കൊല പുഴുങ്ങി തിന്നാൻ പറ്റുമോ 🤔,neutral,2
പീറ്റർ ഗ്രിഫിൻ ???,neutral,0
Antham kammikal ee keralathe mudipikum. Kerala janatha ye paparakum.,negative,1
കേരള നന്നാവണമെങ്കിൽ ഒറ്റ മാർഗ്ഗമേയുള്ളൂ ഇവിടെ വോട്ട് ചെയ്യാൻ പാടില്ലായിരുന്നു,negative,2
കേരളത്തിലെ പിസമുത്ത് പാവപ്പെട്ട ജനങ്ങളുടെയാണ് ലോട്ടറി മദ്യം,negative,5
അന്തവും കുന്തവും ബോധവും ഇല്ലാത്ത നാറികൾ ഭരിച്ചാൽ ഇങ്ങനെയിരിക്കും സഹിച്ചോളൂ.,negative,4
Pinnaari Enna maaliniyathe kondu nadakkan rolls Roy&#39;s car venam ee chettayude durthu kurayilla,negative,2
Sthree peedanam vardhippikkan Sarkar veshiyalayam thurakkum.,negative,4
Perumkallan pinamnaari paranaariyude pattichanghu potty,positive,4
Swapnayude koode munnarilekku tour pokunnad swapnamayi,negative,2
ഇവൻ പുതിയ കേരളം ഒണ്ടാക്കിയിട്ടു എന്തായി. ദുരിതാശ്വാസ ത്തിനു കിട്ടിയ കാശ് എവിടെപ്പോയെടാ പിണറായി.. നാണമില്ലാത്ത ചെറ്റ. ഭൂ..,negative,3
Only Adani can save us from our these calamity and we pray for the same. India may be utilised by the help of Adani for our future lives and namaste to all of us and to Sri Adani.,negative,4
"If this is possible to rule aGovt only by getting debts from different sources especially from Central Govt authorities. Action may be taken to gather from defferent sections especially from electricity, water, defaulters.",neutral,1
"Thanks for the narrative explanation and information about Chintha Jerome and varios news in your speech, in Asianet.",neutral,1
"സിപിഎം ൽ നിന്നും കമ്യുണിസത്തെ തുരത്തിയ ഓട്ടചങ്കനാണ് പരനാറിയും നികൃഷ്ടജീവിയുമായ പിണറായി. യഥാർത്ഥ കമ്യുണിസ്റ്റുകൾ സിപിഐ ആണെന്ന് ജനങ്ങൾ മനസ്സിലാക്കി. DYFI, SFI അണികൾ ഇപ്പോൾ മാനഭംഗ പീഡനം, കള്ള് കച്ചവടം, മയക്കു മരുന്ന് കച്ചവടം, വ്യഭിചാരാശാല, ഗുണ്ടായിസം, കൊട്ടേഷൻ സംഘം ഒക്കെയാണ് നടത്തുന്നത്. സിപിഎം ന്റെ പുതിയ കണ്ണൂർ പ്രത്യയ ശാസ്ത്രം ആണ് കേരളമെങ്ങും പടർന്നു പിടിച്ചത്. പരനാറി സിപിഎം ന്റെ നേതൃത്വം ഏറ്റെടുത്തത് മുതൽ പാർട്ടിയിൽ വൻ വികസനമാണ്. നേതാക്കൾ സ്വർണ്ണ കള്ളക്കടത്തും, വിദേശ കറൻസി കള്ളക്കടത്തും, ഖജനാവ് കൊള്ളയടിക്കലും , സഹകരണ ബാങ്ക് കൊള്ളയടിക്കലും, ഓരോ കോര്പറേഷൻ കൊള്ളയടിക്കലുമായി അര്മാദിക്കുകയാണ്. പരനാറി നികൃഷ്ടജീവി അവന്റെ കൊള്ളരുതായ്മകളെ കുറിച്ച് പറഞ്ഞാൽ എന്ത് ഹീനകൃത്യവും ചെയ്തു ദ്രോഹിക്കും. ഒരു പിച്ചക്കാരന്റെ മകനായി ഉടുതുണിക്കു മറുതുണി ഇല്ലാതെ വളർന്ന ഈ ചെറ്റ അവന്റെ ദാരിദ്ര്യത്തോട് പടവെട്ടുകയാണ് 42 ലക്ഷത്തിന്റെ പശു തൊഴുത്തു കെട്ടിയും 25 ലക്ഷത്തിന്റെ ലിഫ്റ്റ് കെട്ടിയും കോടികളുടെ കാറു വാങ്ങിച്ചും. ഇതെല്ലാം പാവപ്പെട്ട കേരളീയന്റെ പൈസ കൊള്ളയടിച്ചിട്ടാണ്.",negative,0
കേന്ദ്രത്തിലും കേരളത്തിലും ജനദ്രോഹ വാചകമടി ബെഡ്‌ജറ്റ്,negative,0
ദൈവാനുഗ്രഹം ഉണ്ടെങ്കിൽ മാത്രം ഇനിയിവിടെ ജീവിക്കാം! ശ്വസിക്കുന്നതിനും മരിക്കുന്നതിനും മരണ സംസ്ക്കാരത്തിനുമെല്ലാം നികുതിവരുന്ന കാലം വിദൂരമല്ല!!,negative,5
ഐസക് കുളിക്കാൻ തോർത്ത് വാങ്ങിച്ചു നാട് നന്നാക്കാവുന്നതാണ് കള്ള തിരുവോണികൾ,neutral,2
Prathisandhikku really karanam<br><br>Covid Mahamarikkalathu udyogastharku sambalam kootty koduthu athu suspend cheyyuka or cancel cheyyuka. Pavangale pidichuparikkunnu,negative,0
കഴിഞ്ഞ വർഷത്തെ ബജറ്റില് ലോക സമാ&#39;ധന&#39;ത്തിന് 2 കോടികൾ നീക്കി വെച്ചിരുന്നു..,neutral,1
കുട്ടികൾ എവിടെയെങ്കിലും പോയി പഠിച്ച് ജോലി ചെയ്ത് രക്ഷപ്പെടട്ടെ -,positive,2
To be frank both Congress and communist are use less,negative,5
Pothintecheviyilvedamothiyittukaryamilla,negative,4
കേരളം 20 MPs &amp;രാജ്യസഭാ MPs എല്ലാം കുടി ELECTION IL SELECT ചെയിതു ജയിപ്പിച്ചു വിട്ടപ്പോൾ എന്തു കിട്ടി,negative,2
Paranarikalay commikal pavapettan kastapedum marimakkalum makkalum sughikkum,negative,4
K rail.....<br>Ippol itha k budget...<br>Al..k budget....udaippu<br>K .budget.......super udaippu....,positive,5
പാചക വാതകമെങ്കിലും കുറഞ്ഞ വിലക്ക് സാധാരണ ജനങ്ങൾക്ക്‌ കിട്ടിയിരുന്നെങ്കിൽ ദൈവമേ... സബ്‌സിഡി കബളിപ്പിക്കൽ വേണ്ടായിരുന്നു ജനങ്ങളോട്..ഇനി വല്ലതുമുണ്ടോ വില കൂട്ടാൻ. വരുമാനത്തിൽ സാധാരണക്കാരന്റെ പോക്കറ്റിൽ വരുന്നതോ? പഴയ തുക തന്നെ,negative,4
m,neutral,2
ചേച്ചിക്ക് balancing നടത്തിയില്ല എങ്കിൽ സമാധാനം വരില്ല..😌,neutral,4
Keralathil oru pettikkada thudangiyal athinte munnilum chuvanna kodi kettum. Pinnengine pichathendathirikkum.?,positive,0
Chechy kurachoke sathyam paranju tudagiii,neutral,2
Good news team 👍 janangal sathyam ariyatte. We support you. Nation first. Jai Hind.,positive,4
Bjp should give the entire GST collected to us. Then with all commikuttans will go for a world tour. Inquilab zindabad,positive,2
Media narikal support cheyyth analo ee gov vanne poyi undakk,negative,3
BETTER THESE MINISTERS GO TO UGANDA.,negative,4
😜😛😍😆😁😀🤩😝😃😄,neutral,1
ആശംസകൾ സിന്ധു ❤❤❤,neutral,1
തള്ള എന്തുവാ തള്ളി മറിക്കുന്നത് ?,negative,0
"GST മറ്റു സംസ്ഥാനങ്ങൾക്കൊന്നും പ്രശ്നം അല്ലല്ലോ, കേരളത്തിന് മാത്രം ആണോ പ്രശനം, അതും ഏറ്റവും പ്രധാന ഉപഭോക്തൃ സംസതാനം ആയ കേരളത്തിനോ",negative,0
Please Mr Kerala Congress party. Educate us with statistics. Start a youtube channel. Show us the figures.,negative,5
Lookha samadhanam..... 2 cr.. appo njammal arayi,negative,2
ജനത pottan maralla Kovala nokkiko,negative,0
Naadu mudiche theeru,negative,1
ദിവസേന ഡീസലിനും പെട്രോളിനും ഒരു രൂപയും .. അമ്പത് പൈസയുമായി മാസങ്ങളോളം കേന്ദ്ര സർക്കാർ വില വർദ്ധിപ്പിച്ച് താണ്ഡവമാടിയപ്പോൾ - മാധ്യമങ്ങൾക്ക് കണ്ണുണ്ടായിരുന്നില്ലേ...?<br><br>കേന്ദ്രം ഞെക്കിപ്പിഴിഞ്ഞ് രസിക്കുമ്പോൾ ... ജനങ്ങൾക്ക് കഞ്ഞി കുടിക്കാൻ നൽകുന്ന കാശിന് വേണ്ടി രണ്ട് രൂപ നികുതി കൂട്ടുവാൻ നിർദ്ദേശിക്കുമ്പോൾ - നിങ്ങളിൽ ഉണരുന്ന ധാർമ്മിക രോഷപ്രകടനം<br><br>വെറുപ്പിൻ്റെ തികട്ടലാണ്... അധമമായ രാഷ്ട്രീയ കുഴലൂത്താണ്<br><br>ലോകത്തിനെ നശിപ്പിക്കാനായി നിങ്ങൾ പടച്ചു വിടുന്ന സീരിയലുകളുടെ നിലവാരം പോലും ശീതീകരണ മുറികളിലിരുന്ന് വാഴുന്ന നിങ്ങളുടെ മേലാളൻമാർക്കില്ലാതെ പോയത്<br><br>വിവേകമുള്ളവർക്ക് ബോധ്യമാകുന്നുണ്ട്..<br><br>അതിനെ നിങ്ങൾ എങ്ങനെ വ്യാഖ്യാനിച്ചാലും ഞങ്ങൾക്ക് പ്രശ്നമില്ല,negative,2
ജനത്തിനെ ചടവാറുകൊണ്ട് അടിക്കുന്ന പണിയാണ് ഇവന്മാർ ചെയുന്നത് ആഡംബര വാഹനങ്ങൾ മന്ത്രിമാർക്കും പ്രതിപക്ഷ നേതാവിനും വാങ്ങാം ചിന്ത ജെറോമിനെ പോലുള്ള കുട്ടി sakakalude ശമ്പളം ഇരട്ടിയായി വർധിപ്പികാം അതിനൊന്നിനും സാമ്പത്തിക ബുദ്ധി മുട്ടില്ല ജനത്തിന് റേഷൻ കൊടുക്കാൻ വിലക്കയറ്റം നിയന്ത്രികൾ ആശുപത്രികളിൽ പാവപെട്ടവർക്കു ചികിത്സക്ക് മരുന്ന് നൽകാൻ പണമില്ല മദ്യത്തിനും പെട്ടോലിനും വിലവർധിപ്പിക്കുന്ന സർക്കാർ മദ്യപാനം മൂലം കരൾ നശിച്ചു മരിക്കുന്നവർക്കു ചികിത്സ നൽകാൻ തയാറല്ല m l a മാർക്കും മന്ത്രിമാർക്കും പെൻഷൻ വാങ്ങുന്നതിനു കുടുംബ വരുമാനം പ്രശ്നം അല്ല എന്നാൽ സാമൂഹ്യ പെൻഷൻ കിട്ടാണമെങ്കിൽ പാവപെട്ടവർക്കു കുടുംബ വരുമാനം ഒരു ലക്ഷം രൂപയിൽ താഴെ ആയിരിക്കണം ഇവിടെ ആര് ഭരിച്ചാലും സാധാരണക്കാരുടെ അവസ്ഥ ഇതാണ് ഇനിയും കിറ്റ് ഉം പൊള്ള യായ വാഗ്ദാനങ്ങളും നൽകുമ്പോൾ വോട്ട് ചെയ്ത് ഇവന്മാരെ അധികാരത്തിൽ കൊണ്ടുവരും കഴുതയായ ജനം,negative,5
Congress kendratel bharichal keralatel aendhuva kittiyathu. Keralam valarnnho. Now our sarkkar ipphol chayenddathu First two year pention stop chaeyanum. Govt staff pention varikhorikhodukkunnaathu stop chaeyanum. (Khodukkanum oru limit) Mla minister sirmaruday doortu avasanippikkuha. ( doorthu chaeyunnavar matram),negative,4
പാർട്ടിക്കാർക്ക് kolla m,positive,2
CHANTHA’s human error in HUMAN WASTE.,neutral,4
Amerikayilirunnu kearalathine oombhikkunnavan,positive,4
Ooomada vembanada,negative,2
Yela nakkiyude chirinakki nair patty,positive,3
Nakki nair,positive,4
Patty,negative,1
ലോകത്തു ഇത്രയും തല്ലിപ്പൊളി ഒരു സര്ക്കാര് ഉണ്ടായിട്ടില്ല.....ഇനി ഉണ്ടാവുകയും ഇല്ല,negative,1
"maari maari kolla adich nashipichal mathi. kendrathe kuttam paranjit oru karyavum illa. avar avarde panikal bangi aayi cheyunundu. aalkaru pottanmaru alla, pandathe kaalam alla ipo. madyama pravarthakar vayi thoniyath vilich parayunna munne onnu anneshichit paray",neutral,0
GST നല്ലത് തന്നെയാണ്,neutral,0
"Petrol, Diesel ses yethra Kodi kittum?",positive,5
മന്ത്രിമാരുടെ കാര്യം ഉടായിപ്പ് സ്റ്റോറി,positive,2
കേരളത്തിലെ ധനമന്ത്രിക്ക് തെറ്റ് പറ്റി എന്നത് പുതിയ കാര്യം അല്ല. പക്ഷെ ആ തെറ്റി പറഞ്ഞ ഒരു തുക യാതൊരു വിധ ക്രോസ്സ് ചെക്കിങ്ങും ചെയ്യാതെ നേരെ പോയി പാർലമെന്റിൽ നിർമ്മലജിയുടെ മുന്നിൽ പറഞ്ഞ വിശ്വപൗരൻ MP യുടെ അറിവും വിജ്ഞാനവും ക്രെഡിബിലിറ്റി ഒക്കെ ഇത്രയേ ഉള്ളൂ. <br>4470 കോടി GST കുടിശ്ശിക കിട്ടാനുണ്ട് എന്ന കേരളത്തിന്റെ കണക്ക്‌ തെറ്റാണു എന്ന് നിർമ്മലാജി പറഞ്ഞത് കേരള ധനമന്ത്രി ശരി വെക്കുകയും പരസ്യമായി തെറ്റ് സമ്മതിക്കുകയും ചെയ്തത് ഒന്നും നേതാവ് അറിഞ്ഞില്ല എന്ന് തോന്നുന്നു. <br>മാത്രമല്ല തരാൻ ബാക്കി ഉള്ള തുകയായ 780 കോടി കേരളത്തിന്റെ ഓഡിറ്റ് റിപ്പോർട്ട് എന്ന് സമർപ്പിക്കുന്നുവോ അന്ന് തരാം എന്നും ഉറപ്പ് നൽകുകയും ചെയ്തു നിർമ്മലാജി.,negative,0
1: Gst എന്താണ്<br>2: അതുവളരെ മോശവും കൂടുതൽ സാമ്പത്തിക പ്രേശ്നങ്ങൾ ഉണ്ടാകും<br><br>1: ok എന്താണ് gst<br>2: അതുവളരെ മോശവും കൂടുതൽ സാമ്പത്തിക പ്രേശ്നങ്ങൾ ഉണ്ടാകും<br><br>1: എങ്ങനെ ആണിത് പ്രശ്നം ആകുന്നതു<br>2: അതുവളരെ മോശവും കൂടുതൽ സാമ്പത്തിക പ്രേശ്നങ്ങൾ ഉണ്ടാകും<br><br>1: എങ്ങനെ gst കണക്കുകൂട്ടം<br>2:അതുവളരെ മോശവും കൂടുതൽ സാമ്പത്തിക പ്രേശ്നങ്ങൾ ഉണ്ടാകും<br><br>Continu.....,negative,1
Petrol alcohol cigarette... Chodikanum parayanum aarum illa,negative,2
Ithokke kekkumbol.. deishyam varunnund... Apol ingane aanu theevravaadam undavunnath,positive,5
കേരള സർക്കാർ സെക്സ് എന്ന പേരീൽ ടാക്സ് കൂടാത് എത്ര രൂപയാണ് പെട്രോളിനും ഡീസലിനും ഈടാക്കുന്നത് മൂന്നോ അതോ നാലു രൂപയോ [നേരത്തേ തടക്കം],positive,4
Dr. Thomas Isac<br>( Dr. Duplicate ),negative,2
വീണ്ടും വരും ഇന്നോവ വണ്ടികൾ,positive,4
കേരളത്തിൽ നടക്കുന്ന ദേശീയ പാത വികസനം കാണാൻ പറ്റാത്ത അവസ്ഥ കഷ്ടമാണ്...,positive,5
Dont blame central government they doing very well and they giving maximum to Kerala you Kerala people vote for correpted politicians and simply blame central government,negative,4
കേരളം പൈസ ഉണ്ടാക്കാൻ ബമ്പർ ലോട്ടോ തുടങ്ങും 😀,negative,2
Dear Surya ji please make it more humourous like that Advocate from Nedumbassery so that we can atleast enjoy. You are making me suffer and cry instead of enjoying. After all we are human beings 👏🤔😜,negative,4
"നഴ്സിംഗ്, എഞ്ചിനീയറിംഗ് കോളേജ് കളിൽ സീറ്റ് ഒഴിഞ്ഞു കിടക്കുമ്പോൾ നമ്മുടെ കുട്ടികൾ കേരളത്തിൽ തന്നെ പഠിക്കാനുള്ള സാഹചര്യം ഉണ്ടാക്കണം..... കേരളത്തിന്‌ പുറത്തേക്കു പോകുന്നപണം ഇവിടെ തന്നെ നിൽക്കുമല്ലോ...",negative,0
അഞ്ച് പൈസ ഉൽപാദിപ്പിക്കാത്ത കേരളം കരഞ്ഞിട്ട് കാര്യം ഇല്ല...20 ലോക സഭ സീറ്റ്‌ bjp ക്ക്‌ ആവശ്യം ഇല്ല 😂😂,negative,2
Ivantey pudgetil MLA markkum manthirimarkkum sampalamkoodiyilla. Pavam Anganawadi kkarey pavapatta varuda paranam pudget marannupokum.,negative,4
"എല്ലാറ്റിനും ഒരു കേരള മോഡൽ ഉണ്ട്.<br>തീവ്രവാദം, സ്വജനപക്ഷപാതം, യൂണിവേഴ്സിറ്റി നിയമനങ്ങൾ, ധൂർത്ത് ലഹരി മാഫിയ കള്ള് കച്ചവടം ലോട്ടറി ഇതിൽപരം എന്ത് വേണം",neutral,2
പച്ച വെള്ളത്തിനും പൈസ കൂട്ടി നാറികൾ.,neutral,3
അദാനി ഓടിയാൽ ആരാണ് ഉത്രവാതി,neutral,4
K റയിൽ വരും കേട്ടോ......😭😭😝,negative,1
Vote for LDF.. Still remember your LDF campaign.,positive,1
പിപ്പിടി വിജയനും 40......,positive,0
Stealing money legally.,positive,0
"ഏതായാലും ഒരു കാര്യം ഉറപ്പാണ്,സാമ്പത്തിക ശാസ്ത്രം അറിയാവുന്ന ഒരുത്തനും ഇപ്പോൾ കേരളത്തിൽ ഇല്ല.ഈ പോക്കാണെങ്കിൽ കേരളം സ്തംഭിക്കും.",negative,5
"Prithekam vaikane.... <br>India, international level porandumbol nammal support cheyanam. India inside nammal pradikarikkanam... <br>Appole nammalku ororutharkum oro samuhathinum munneran akulu... I&#39;ll let Pakistan pole ai India nadhikkkum",positive,2
😔☹,neutral,0
mathreede Ipad ethu budgetil allotment anappa???,positive,1
Crazy Gopalan വീട് കൊള്ള... Crazy Balagopalan നാടു കൊള്ള....🤪,negative,2
Pravasighal illenghil keralathinte nilanilpu Apaghadathil,positive,5
useless report... report against ...,neutral,4
അദാനിയെ പറഞ്ഞാൽ പിണറായിയും ഉമ്മന്ചാണ്ടിയും പിണങ്ങും.,negative,2
Kayarupiri shastranjan ipol pakistanilanu Avare rakshikkan,negative,4
ഇന്ത്യൻ സമ്പത്ത് വ്യവസ്ഥയുടെ പതിനെട്ട് ഇരട്ടിയാണ് അമേരിക്കയുടെയും ചൈനയുടെയും സമ്പദ് വ്യവസ്ഥ.... അമേരിക്ക രണ്ടു ശതമാനം വളരുന്നത് ഇന്ത്യ 36% വളരുന്നത് തുല്യമാണ്... പത്തുശതമാനം വളച്ചയെങ്കിലും നമ്മുക്കില്ലേൽ അത് വലിയ വളർച്ചയല്ല,neutral,4
